@lat,@lon,name
34.8425760,126.4614591,죽림JC
37.3936981,126.8706628,목감
37.3084277,126.8952843,팔곡분기점
36.5572400,126.5799300,홍성 휴게소 (목포 방향)
36.7305928,126.5637186,서산휴게소
36.8070493,126.5716725,서산IC
36.7460566,126.5674705,서산휴게소
36.2420246,126.5603173,무창포IC
36.2352640,126.5627801,무창포IC
36.1657918,126.6027998,춘장대IC
36.4951106,126.5847250,광천IC
36.3352639,126.5723531,대천IC
36.5944536,126.5593568,홍성IC
36.8081452,126.5720811,서산IC
36.7140301,126.5625863,해미IC
36.8482965,126.6143291,당진분기점
36.8941242,126.7087668,당진IC
35.7297063,126.7718537,부안 나들목
35.8325502,126.8392700,서김제 나들목
35.8376476,126.8400912,서김제 나들목
35.7236351,126.7667408,부안 나들목
35.0960176,126.4816450,함평 나들목
35.0071616,126.4921100,무안IC
34.8562798,126.4794498,일로IC
35.9451979,126.8341853,동군산IC
35.9482093,126.8343936,동군산IC
37.2399800,127.3943839,덕평자연휴게소
37.2273426,127.5921624,여주분기점
37.2325380,127.5864634,여주분기점
37.2343353,127.5831329,여주분기점
37.2323087,127.5944900,여주분기점
37.2330162,127.5987151,여주분기점
37.2249352,127.5928139,여주분기점
37.2349935,127.4385387,호법분기점
37.3169457,126.9948445,북수원IC
37.2897257,127.0999108,신갈분기점
37.2467955,127.2419102,용인 휴게소 (인천 방향)
37.2388856,127.2905546,양지IC
37.6789560,128.6977194,대관령IC
37.7614446,128.8097727,강릉대관령휴게소(인천방향)
37.6331500,128.4927800,속사IC
37.5613317,128.3658687,면온IC
37.6290700,128.4862500,속사IC
37.3452498,126.8567100,안산분기점
37.4471892,128.0630335,새말IC
37.6783686,128.6892824,대관령IC
37.7719646,128.8246040,강릉분기점
37.5878461,128.4120199,평창IC
37.5615749,128.3633562,면온
37.6489200,128.5558700,진부IC
37.4011474,127.9480771,원주IC
37.2396210,127.4192063,호법분기점
37.4461900,128.0708600,새말IC
37.4654316,127.0902385,헌릉
37.4219132,127.0895650,고등
37.3311029,127.0588768,서수지
37.2785573,127.0795773,흥덕
35.5686162,129.2297613,범서하이패스
