pid,property,invest_target,kind,inferred_status,book_value_mn,lon,lat,geo_method
가양 주유소 외 전국 109개 주유소 | 서울특별시 강서구 강서로 498 (가양동),가양 주유소 외 전국 109개 주유소,리테일,일반,특이공시 있음(계속 공시 가능),,126.841978506958,37.5697365483757,addr
"가재울5구역 | 서울 서대문구 남가좌동 390, 391(거북골로 100)",가재울5구역,주택(공동주택),일반,최근 투자보고서 있음(계속 운용 추정),,126.917460818879,37.5762124068956,addr
가재울6구역 | 서울 서대문구 남가좌동 389(거북골로 84),가재울6구역,주택(공동주택),일반,최근 투자보고서 있음(계속 운용 추정),,126.919159886739,37.5771753939051,addr
강남 P타워 | 서울특별시 서초구 양재동 11-149 강남 P타워,강남 P타워,오피스,일반,조직개편 신호,416551.270021,127.037321007386,37.484471520156,addr
강남N타워 | 서울특별시 강남구 테헤란로 129,강남N타워,오피스,일반,상호·명칭 변경 신호,,127.032366449372,37.4999397623793,addr
강남P타워 | 서울시 서초구 남부순환로 2620,강남P타워,오피스,일반,청산·종료 관련 신호,250821.316763,127.037325442562,37.484522966337,addr
"강남P타워 | 서울특별시 서초구 남부순환로 2620
(양재동, 강남피타워)",강남P타워,오피스,일반,조직개편 신호,417151.808,127.037325442562,37.484522966337,addr
강남P타워 | 서울특별시 서초구 양재동 11-149 강남 P타워,강남P타워,오피스,일반,조직개편 신호,418882.808,127.037321007386,37.484471520156,addr
강남데시앙파크 | 서울시 강남구 세곡동 525,강남데시앙파크,주택,일반,최근 투자보고서 있음(계속 운용 추정),,127.101185384316,37.4602885503743,addr
강동 | 서울특별시 강동구 길동 415-9,강동,오피스,일반,청산·종료 관련 신호,52481.0,127.13675112052,37.5368289484656,addr
"강동 스페이스 | 서울특별시 강동구 올림픽로78길 60 (천호동, 강동 밀레니얼 중흥S-클래스)",강동 스페이스,주택(준주택),일반,특이공시 있음(계속 공시 가능),,127.128499316444,37.5409734434557,addr
"강동 스페이스 | 서울특별시 강동구 올림픽로78길 60(천호동, 강동 밀레니얼 중흥S-클래스)",강동 스페이스,주택(준주택),일반,특이공시 있음(계속 공시 가능),,127.128499316444,37.5409734434557,addr
강동* | 서울특별시 강동구 길동 415-9,강동*,오피스,일반,청산·종료 관련 신호,52481.0,127.13675112052,37.5368289484656,addr
"강동구 길동 역세권 청년주택 | 서울특별시 강동구 길동 367-1(A동),368-7(B동)번지",강동구 길동 역세권 청년주택,주택,개발사업,상호·명칭 변경 신호,,127.140234398465,37.5396039065599,addr
강동구 길동 역세권 청년주택(A동) | 서울특별시 강동구 양재대로 1499 (길동),강동구 길동 역세권 청년주택(A동),주택(공동주택),개발사업,상호·명칭 변경 신호,,127.140318738444,37.5395668653995,addr
강동구 길동 역세권 청년주택(B동) | 서울특별시 강동구 양재대로 1501 (길동),강동구 길동 역세권 청년주택(B동),주택(공동주택),개발사업,상호·명칭 변경 신호,,127.140345588521,37.5399470552146,addr
강동그린타워 | 서울특별시 강동구 천호대로 1139,강동그린타워,오피스,일반,청산·종료 관련 신호,74709.0,127.138116623963,37.5345959427598,addr
"강동와이시티 (도시형생활주택 134세대 오피스텔 57세대) | 서울특별시 강동구 길동
414-4",강동와이시티 (도시형생활주택 134세대 오피스텔 57세대),주택,일반,최근 투자보고서 있음(계속 운용 추정),17697.0,127.137446454768,37.5364903563795,addr
"강동와이시티 (도시형생활주택 134세대 오피스텔 57세대) | 서울특별시 강동구 길동 
414-4",강동와이시티 (도시형생활주택 134세대 오피스텔 57세대),주택,일반,최근 투자보고서 있음(계속 운용 추정),18173.0,127.137446454768,37.5364903563795,addr
강동와이시티 (도시형생활주택 134세대 오피스텔 57세대) | 서울특별시 강동구 길동 414-4,강동와이시티 (도시형생활주택 134세대 오피스텔 57세대),주택,일반,최근 투자보고서 있음(계속 운용 추정),18708.0,127.137446454768,37.5364903563795,addr
"강동와이시티 (도시형생활주택 134세대 오피스텔 57세대) | 서울특별시 강동구 길동_x000D_
414-4",강동와이시티 (도시형생활주택 134세대 오피스텔 57세대),주택,일반,최근 투자보고서 있음(계속 운용 추정),,127.137446454768,37.5364903563795,addr
"강동와이시티 | 서울특별시 강동구 길동_x000D_
414-4",강동와이시티,주택(준주택),일반,최근 투자보고서 있음(계속 운용 추정),,127.137446454768,37.5364903563795,addr
강동이스트센트럴타워 | 서울특별시 강동구 천호동 571,강동이스트센트럴타워,오피스,일반,조직개편 신호,,127.131974711687,37.5372215425849,addr
강북구 미아동 321-4 | 서울특별시 강북구 미아동 321-4,강북구 미아동 321-4,기타,일반,특이공시 있음(계속 공시 가능),,127.026946779847,37.6213369300846,addr
"강북구 미아동 374-11외2필지 | 서울특별시 강북구 미아동 374-11,42,44",강북구 미아동 374-11외2필지,기타,일반,특이공시 있음(계속 공시 가능),,127.028644754736,37.6181158592022,addr
"강서구 내발산동 701-7외 1필지 | 서울특별시 강서구 내발산동 701-7,8",강서구 내발산동 701-7외 1필지,기타,일반,특이공시 있음(계속 공시 가능),,126.836000987551,37.5518362397929,addr
강서한강자이 | 서울시 강서구 가양동 1500,강서한강자이,주택,일반,최근 투자보고서 있음(계속 운용 추정),,126.849144523266,37.5664868440078,addr
강서한강자이 | 서울시 성북구 종암로 167,강서한강자이,주택,일반,최근 투자보고서 있음(계속 운용 추정),4314.0,127.030928150119,37.6050371568783,addr
"강서한강자이 | 서울특별시 강서구 양천로55길 55(가양동, 강서한강자이)",강서한강자이,주택(공동주택),일반,최근 투자보고서 있음(계속 운용 추정),,126.8481831828,37.5663284781553,addr
"강원 | 경기도 안양시 만안구 창박로 30, 101-405(안양동,수리산현대아파트) 외 151세대",강원,주택,일반,청산·종료 관련 신호,40846.0,126.903568223698,37.3852969565754,addr
강원회관 | 강원특별자치도 춘천시 경춘로 2370 (온의동),강원회관,오피스,일반,특이공시 있음(계속 공시 가능),,127.721042675305,37.8647561810117,addr
강원회관 | 강원특별자치도 춘천시 온의동 513 등,강원회관,오피스,일반,특이공시 있음(계속 공시 가능),,127.720973807104,37.8648727329418,addr
강일지구 10단지 | 서울시 강동구 강일동 695,강일지구 10단지,주택,일반,최근 투자보고서 있음(계속 운용 추정),,127.180715216341,37.5600708225056,addr
"강일지구 10단지 | 서울특별시 강동구 고덕로97길 20(강일동, 강일리버파크 10단지)",강일지구 10단지,주택(공동주택),일반,최근 투자보고서 있음(계속 운용 추정),,127.179997616634,37.5592084943697,addr
강일지구2단지 | 서울시 강동구 강일동 668,강일지구2단지,주택,일반,최근 투자보고서 있음(계속 운용 추정),,127.17613480554,37.5692016717333,addr
"강일지구2단지 | 서울특별시 강동구 아리수로97길 68(강일동, 강일리버파크2단지아파트)",강일지구2단지,주택(공동주택),일반,최근 투자보고서 있음(계속 운용 추정),,127.176654612273,37.5687307561536,addr
강일지구9단지 | 서울시 강동구 강일동 699,강일지구9단지,주택,일반,최근 투자보고서 있음(계속 운용 추정),,127.178795220726,37.5600680693929,addr
"강일지구9단지 | 서울특별시 강동구 고덕로97길 29(강일동, 강일리버파크9단지)",강일지구9단지,주택(공동주택),일반,최근 투자보고서 있음(계속 운용 추정),,127.177832623849,37.5583540269033,addr
개봉뉴스테이 | 서울특별시 구로구 개봉동 497 일대,개봉뉴스테이,주택,일반,최근 투자보고서 있음(계속 운용 추정),473743.0,126.853921214833,37.4963723024832,addr
개봉역 센트레빌레우스 | 서울특별시 구로구 개봉동 497 일대,개봉역 센트레빌레우스,주택,일반,최근 투자보고서 있음(계속 운용 추정),478314.0,126.853921214833,37.4963723024832,addr
갤러리아 센터시티 | 충남 천안시 서북구 불당동 1299,갤러리아 센터시티,리테일,일반,청산·종료 관련 신호,,127.104689019518,36.800458713014,addr
"갤러리아 센터시티 | 충청남도 천안시 서북구 
불당동 1299",갤러리아 센터시티,리테일,일반,청산·종료 관련 신호,298761.937221,127.104689019518,36.800458713014,addr
갤러리아 센터시티 | 충청남도 천안시 서북구 공원로 227(불당동),갤러리아 센터시티,리테일,일반,청산·종료 관련 신호,,127.104726252319,36.800564020263,addr
갤러리아 센터시티 | 충청남도 천안시 서북구 불당동 1299,갤러리아 센터시티,리테일,일반,청산·종료 관련 신호,303640.68377299997,127.104689019518,36.800458713014,addr
거여2-1구역 | 서울 송파구 거여동 697(거마로 56),거여2-1구역,주택(공동주택),일반,최근 투자보고서 있음(계속 운용 추정),,127.14746026978,37.4959950468936,addr
거여2-2구역 | 서울 송파구 거여동 696(오금로 551),거여2-2구역,주택(공동주택),일반,최근 투자보고서 있음(계속 운용 추정),,127.150146674183,37.4939016894152,addr
검단 한신더휴 어반파크 | 인천광역시 서구 당하동 205-0,검단 한신더휴 어반파크,주택,개발사업,최근 투자보고서 있음(계속 운용 추정),,126.662249377809,37.5827355410261,addr
검단 한신더휴 어반파크 | 인천광역시 서구 매밭로 130,검단 한신더휴 어반파크,주택(공동주택),개발사업,최근 투자보고서 있음(계속 운용 추정),,126.70775803709,37.5880210059055,addr
"검단 한신더휴 어반파크 | 인천광역시 서구 매밭로 130 (당하동, 한신더휴 어반파크)",검단 한신더휴 어반파크,주택(공동주택),개발사업,최근 투자보고서 있음(계속 운용 추정),,126.70775803709,37.5880210059055,addr
견본주택(가설건축물) | 서울시 중구 명동1가 1-6,견본주택(가설건축물),주택,일반,최근 투자보고서 있음(계속 운용 추정),1690.0,126.986152669602,37.5646429279794,addr
"경기 외 18세대 | 경기도 고양시 일산동구 공릉천로 66, 302-303 (사리현동, 동문아파트) 외",경기 외 18세대,주택,일반,청산·종료 관련 신호,4351.0,126.847285962516,37.6985702107517,addr
"경기 외 35세대 | 경기도 용인시 기흥구 중부대로 788번길 15, 201-702 외",경기 외 35세대,주택,일반,청산·종료 관련 신호,8776.0,127.141252685109,37.2561440980568,addr
"경기 외 99세대 | 경기도 안양시 만안구 창박로 30, 101-405(안양동,수리산현대아파트)외 99세대",경기 외 99세대,주택,일반,청산·종료 관련 신호,39251.0,126.903568223698,37.3852969565754,addr
"경기도 파주시 
운정3지구 A-15BL | 경기도 파주시 운정3지구A-15B","경기도 파주시 
운정3지구 A-15BL",주택,일반,최근 투자보고서 있음(계속 운용 추정),83240.0,126.752014040044,37.7047853366895,addr
"경기외 총 173세대 | 경기도 안양시 만안구 창박로 30, 101-405(안양동,수리산현대아파트) 외 173세대",경기외 총 173세대,주택,일반,청산·종료 관련 신호,47000.0,126.903568223698,37.3852969565754,addr
경남하동 | 경상남도 하동군 악양면 정서리 642-3일원,경남하동,주택,개발사업,최근 투자보고서 있음(계속 운용 추정),,127.691807424989,35.171788241615,addr
경남회관 | 경상남도 창원시 성산구 중앙대로 107 (중앙동),경남회관,복합시설,일반,특이공시 있음(계속 공시 가능),,128.679733926139,35.224474865904,addr
경남회관 | 경상남도 창원시 성산구 중앙동 93-2,경남회관,복합시설,일반,특이공시 있음(계속 공시 가능),,128.679635177819,35.224522198619,addr
경산 GS물류센터 | 경상북도 경산시 진량읍 선화리 256-3,경산 GS물류센터,물류,일반,최근 투자보고서 있음(계속 운용 추정),,128.804124648526,35.8688659762558,addr
"경산CJ대한통운
통합물류센터 | 경상북도 경산시 하양읍 
지식산업2로1길 63","경산CJ대한통운
통합물류센터",물류,일반,최근 투자보고서 있음(계속 운용 추정),50908786423.0,128.822083033869,35.9429037201015,addr
"경산CJ대한통운_x000D_
통합물류센터 | 경상북도 경산시 하양읍 _x000D_
지식산업2로1길 63","경산CJ대한통운_x000D_
통합물류센터",물류,일반,최근 투자보고서 있음(계속 운용 추정),,128.822083033869,35.9429037201015,addr
"경산하양지구
우미린 에코포레 | 경상북도 경산시 하양읍 서사도리로 71","경산하양지구
우미린 에코포레",주택,일반,최근 투자보고서 있음(계속 운용 추정),187309.0,128.806915089547,35.918741650729,addr
"경산하양지구_x000D_
우미린 에코포레 | 경상북도 경산시 하양읍 서사도리로 71","경산하양지구_x000D_
우미린 에코포레",주택(공동주택),일반,최근 투자보고서 있음(계속 운용 추정),,128.806915089547,35.918741650729,addr
