var1,var2,n,pearson_r,pearson_p,spearman_r,spearman_p,same_block,block1,block2,q_fdr
rtms_land_med_unit,kiscon_cnt_pub,798,0.010515603601686808,0.7667744126635623,0.036471607106354,0.3034750227197045,False,rtms_land,kiscon,0.4311054586828534
corp_bond_BBB3y,minbid_vs_rtms_dae_3m,498,-0.0089447541240782,0.8421745603997526,-0.04613059516404147,0.3042291133322793,False,rates,valuation,0.4318325110134583
min_bid_mn,kiscon_cnt_all,502,0.07118743180961981,0.11115453376148028,0.045958981034360975,0.30408933942374605,False,site_price,kiscon,0.4318325110134583
hug_sago_amt_mn,ah_n_pblanc,328,0.17950240317423777,0.0010943501570294745,0.05690314422653469,0.304204783293542,False,hug,applyhome,0.4318325110134583
bldg_area_m2,spread_BBB_KTB,286,0.1290556939957359,0.02910180585951948,0.0609410244201555,0.3043980358662326,False,site_price,rates,0.4319576161827881
house_idx_yoy_pct,excess_pp_med,189,0.0757494206621398,0.30021936432494034,0.07492687817143406,0.30551329309589675,False,land_house,excess,0.43342519983649774
cci_yoy_pct,kfb_understated,425,-0.0686731749466375,0.15758721778160079,-0.049753617297551164,0.306161243556497,False,cci,exit,0.43422922262509
rtms_land_dae_n_3m,months_permit_idle,284,-0.005986266792566249,0.9199963371002119,0.06091545873956878,0.3063133535404458,False,rtms_land,hub,0.4343297537472192
cci_yoy_pct,appr_vs_rtms_dae_3m,765,0.005849621579985132,0.8716764931746211,0.03699452926958782,0.3068307145192765,False,cci,valuation,0.434947993248826
bank_corp_loan_rate,ap_stcns_day,142,0.1811786910625155,0.03094325807627644,0.08634125893674585,0.3069274902033259,False,rates,hub,0.43496986220969613
kfb_understated,hug_sago_sgg_flag,425,-0.04964688916832358,0.30720125396309544,-0.04964688916832361,0.3072012539630939,False,exit,hug,0.4352424761369006
base_rate_chg_12m,land_chg_pct,798,-0.008282555211642385,0.8152875572424287,-0.03616392047645356,0.3075752408799801,False,rates,land_house,0.435656904102054
rtms_nrg_n,br_useapr_day,230,0.06117777853366446,0.35568558791691696,0.06754629807333169,0.3077406031858753,False,rtms_nrg,hub,0.4357756899456767
base_rate,rtms_nrg_n_yoy_pct,797,-0.07860153549807813,0.026489048295166406,-0.03613136658150706,0.3083154391531831,False,rates,rtms_nrg,0.43612768601906615
rtms_fac_n_yoy_pct,kiscon_amt_priv,737,0.044675752278357725,0.22574516882800472,0.03758907631292246,0.3081618231381374,False,rtms_fac,kiscon,0.43612768601906615
appr_vs_rtms_dae_3m,kiscon_cnt_priv,765,-0.013375045999130433,0.7118690302729587,-0.03688319327577459,0.3082897394768089,False,valuation,kiscon,0.43612768601906615
round_no,appr_vs_rtms_all_3m,209,-0.0008481428470571289,0.9902756841625,-0.07081299980778316,0.3082639261813832,False,site_price,valuation,0.43612768601906615
bldg_area_m2,bank_loan_rate_all,286,-0.08833949643868029,0.136137797441429,-0.06039211278400681,0.30878264068966993,False,site_price,rates,0.43667304410676144
n_rounds_m,kiscon_cnt_indiv,201,-0.08408877900275347,0.23529383565504913,-0.0720498679745754,0.309422722056254,False,site_price,kiscon,0.43746253168556054
discount_ratio,rtms_fac_n,499,-0.06858824414178041,0.1259907013918086,-0.045574696071875635,0.30961205649869594,False,site_price,rtms_fac,0.4376145033303006
spread_BBB_KTB,kiscon_cnt_all,798,0.02007326690619301,0.5712471167992074,-0.03599828565044808,0.3097975679359906,False,rates,kiscon,0.437760992535344
appr_unit_land_mn_m2,n_rounds_m,200,0.04223371682000449,0.5526484102250424,-0.0721574773484552,0.30992053124310903,False,valuation,site_price,0.4377756970902149
rtms_nrg_med_unit,kiscon_amt_pub,797,0.0026662118706720327,0.9400935158377723,0.03600796357105368,0.3099717204382932,False,rtms_nrg,kiscon,0.4377756970902149
rtms_fac_n_yoy_pct,kiscon_amt_indiv,737,0.04201257995878631,0.2546557025999597,0.03739209693022882,0.31070560861321095,False,rtms_fac,kiscon,0.4386306522544933
land_chg_pct,kiscon_cnt_priv_yoy_pct,798,0.03480630971968932,0.32610180609967176,0.035922184685573975,0.3108221570116074,False,land_house,kiscon,0.4386306522544933
rtms_land_dae_unit_3m,excess_pp_med,201,-0.0122407511281765,0.8630706276535695,-0.07184216019326611,0.31082317961329253,False,rtms_land,excess,0.4386306522544933
rtms_land_n_yoy_pct,pms_after_exit,798,0.09933335517915731,0.004975622712361595,0.035914422666728875,0.31092678661395473,False,rtms_land,exit,0.43866108918860575
cd_91d,rtms_land_dae_unit_3m,798,-0.011680272474479603,0.7418164909649179,0.03580175739550577,0.3124480908556704,False,rates,rtms_land,0.44069109517416766
unsold_completed,n_rounds_m,198,0.09839900656186264,0.16783943937860465,0.07213267556101167,0.3125497183909898,False,unsold,site_price,0.44071818149699954
vac_office,ap_stcns_day,136,0.0048796223515998475,0.9550384808829807,-0.08713940310579407,0.313093704430807,False,commercial,hub,0.44136884724269043
br_useapr_day,kiscon_amt_priv_yoy_pct,230,0.068620290211857,0.30009479513381027,0.06676985325575592,0.3133472294533579,False,hub,kiscon,0.44160981441410246
base_rate,unsold_total,761,-0.03732347405930246,0.3038182876840899,-0.03658136869230561,0.3135406513383,False,rates,unsold,0.44176597172750726
corp_bond_AA3y,ap_stcns_day,142,-0.11154916824587946,0.1862875144477408,-0.08513486658201579,0.3137606353631673,False,rates,hub,0.4419594618774646
pms_after_exit,excess_pp_med,201,-0.020854293742515316,0.7688735691576274,-0.07137758201383197,0.3139705724365742,False,exit,excess,0.44213870182206017
rtms_fac_n_3m,stcns_delay_days,141,-0.0971716677081999,0.25167373946569205,-0.08537274593210682,0.3141461363507467,False,rtms_fac,hub,0.4422694552573571
bldg_area_m2,kiscon_amt_all,286,-0.01300289451540236,0.8266927972825588,0.059607256440103076,0.31512372936171373,False,site_price,kiscon,0.4434122581308114
ap_pms_day,stcns_delay_days,141,-0.08891673161614944,0.2944048331869095,0.08520598851327056,0.31509577177302994,True,hub,hub,0.4434122581308114
bank_loan_rate_all,stcns_after_exit,798,0.06566138935441776,0.06374559045339284,0.03556622618743638,0.315644222897404,False,rates,exit,0.44402779790381985
cci_civil,rtms_land_unit_3m,798,-0.003482819847086427,0.9217481670637167,-0.035506192329057,0.31646229105882434,False,cci,rtms_land,0.4450615124385939
cci_total,minbid_vs_rtms_dae_3m,498,-0.007163223720140968,0.8733110210746001,-0.044947581797617535,0.3168114694023148,False,cci,valuation,0.44543542647756434
nonbank_corp_loan_rate,appr_unit_land_mn_m2,765,-0.024495934636865606,0.4987120174040468,0.0362088817999622,0.31722411903686876,False,rates,valuation,0.44589836080182366
vac_office,ap_pms_day,418,-0.024813643252391278,0.6129445105703109,-0.04902507317337899,0.3173492993767772,False,commercial,hub,0.44595708377598625
cci_bldg,appr_vs_rtms_all_3m,765,-0.01010923220078732,0.7801239872855351,-0.036151658888620444,0.3179900247272702,False,cci,valuation,0.44662271137817544
discount_ratio,rtms_land_dae_n,499,-0.047239823954642955,0.2922496541987857,-0.0447953268016336,0.3179673624671699,False,site_price,rtms_land,0.44662271137817544
bank_loan_rate_all,rtms_fac_unit_3m,765,-0.048736949262523616,0.17811121353621265,0.03612105002887573,0.3184002080426001,False,rates,rtms_fac,0.4470813845598169
rtms_fac_med_unit,rtms_nrg_n_yoy_pct,733,-0.027220995603275355,0.46181646385522346,-0.03688724682987004,0.31860953437329964,False,rtms_fac,rtms_nrg,0.4472578577826288
rtms_land_dae_n_3m,kiscon_amt_priv_yoy_pct,798,0.0017159015883968795,0.9614003484612236,0.0352772667030997,0.3195945431804994,False,rtms_land,kiscon,0.44852284052129404
rtms_nrg_n,hug_sago_last_yr,335,-0.012986019381045672,0.8128082567103638,-0.05451805932800517,0.3198069509506263,False,rtms_nrg,hug,0.4487031662904746
ap_pms_day,kiscon_cnt_all,425,0.05525127386351223,0.25572734018716,0.04833006746818965,0.32022461828478993,False,hub,kiscon,0.4491713100652601
rtms_fac_med_unit,unsold_completed,701,-0.0781269137622762,0.03864097262761475,0.03754889918460712,0.32083875159529984,False,rtms_fac,unsold,0.4499147140781716
corp_bond_BBB3y,ap_stcns_day,142,-0.1184770984355007,0.16023247259549891,-0.08374500369726944,0.32175478203988345,False,rates,hub,0.4510809699966588
ap_useapr_day,hug_sago_last_yr,44,-0.08403267968310195,0.5875955888156228,-0.15266167228923916,0.3225138866829022,False,hub,hug,0.45190821595741043
appraisal_mn,spread_BBB_KTB,768,0.03647281730868241,0.3127570082069699,0.03574691484172068,0.3224918391075947,False,site_price,rates,0.45190821595741043
cci_civil,rtms_land_n_3m,798,0.04135051295075806,0.24330155028079933,0.035049911063052136,0.32272528147455115,False,cci,rtms_land,0.4520859523302135
rtms_land_n_yoy_pct,n_rounds_m,201,-0.025911368884632774,0.715016418897429,-0.07003515052208412,0.32318169744030373,False,rtms_land,site_price,0.452407134306199
reactivated,excess_pp_med,125,-0.021996310715308075,0.807629675235456,-0.0890783339308908,0.3232083884514083,False,exit,excess,0.452407134306199
rtms_fac_n_yoy_pct,kiscon_amt_all,737,0.052086760697815405,0.15777429890184794,0.03644130625433783,0.32317802815504054,False,rtms_fac,kiscon,0.452407134306199
corp_bond_AA3y,house_idx,798,0.17624733469712855,5.435684904060307e-07,0.034999888061778964,0.32341677993225787,False,rates,land_house,0.45258035129489216
rtms_land_dae_n,rtms_apt_n,798,0.04170585967577087,0.23927149117744284,0.034963778310629794,0.32391654560718997,False,rtms_land,rtms_apt,0.4530425763436162
appraisal_mn,bank_loan_rate_all,768,-0.0674632188445663,0.06166740316621495,-0.03564518417784479,0.3238717087525232,False,site_price,rates,0.4530425763436162
ap_stcns_day,hug_sago_sgg_flag,142,0.028017058692719046,0.7406627062972451,0.08331446888749001,0.32425756096142,False,hub,hug,0.453375911223
spread_AA_KTB,rtms_land_dae_med_unit,797,0.011315780080159243,0.7497517356322062,0.034956297082786025,0.3243244549145269,False,rates,rtms_land,0.453375911223
bank_facility_loan_rate,stcns_after_exit,798,0.06463874516658033,0.06799807361810468,0.034898205632608544,0.3248253667853741,False,rates,exit,0.45395745849487595
rtms_apt_n_yoy_pct,rtms_fac_n_yoy_pct,737,-0.06837613680015414,0.063556429208429,-0.036308426862662904,0.324946722783819,False,rtms_apt,rtms_fac,0.4540083947543977
rtms_apt_n_3m,ah_sale_unit_med,733,0.02993051695684568,0.4184367446615896,0.036390117009336136,0.32517969423899135,False,rtms_apt,applyhome,0.45421521031762974
