var1,var2,n,pearson_r,pearson_p,spearman_r,spearman_p,same_block,block1,block2,abs_r,cluster_boot_p,q_fdr,q_cluster_fdr
rentidx_office,rtms_apt_med_unit,4635,0.051363622882365054,0.00046833206213458314,0.003713804354380874,0.800444734678292,False,commercial,rtms_apt,0.003713804354380874,,0.8689512660246324,
land_area_m2,house_idx_yoy_pct,4324,0.036062749252550354,0.017717553292888266,0.0038309063590845397,0.8011666746790147,False,site_price,land_house,0.0038309063590845397,,0.8689609214705272,
rtms_land_n_yoy_pct,ah_supply_sum,3869,0.008349170984382308,0.6036419106146881,0.004049874500952732,0.801174758301872,False,rtms_land,applyhome,0.004049874500952732,,0.8689609214705272,
discount_ratio,kiscon_amt_indiv,2853,-0.04306080731586812,0.0214433177647447,0.004705012390352752,0.8016576663604086,False,site_price,kiscon,0.004705012390352752,,0.8690935564231149,
rtms_land_dae_n,kiscon_amt_priv_yoy_pct,4732,0.007911915744416175,0.5863577110771799,-0.0036300239212064805,0.8028638239278993,False,rtms_land,kiscon,0.0036300239212064805,,0.8700098092024449,
bldg_area_m2,rtms_apt_n_3m,1314,0.031749097512918364,0.25011420287067404,-0.0068247457259628195,0.8047854973616649,False,site_price,rtms_apt,0.0068247457259628195,,0.8717002465804999,
rtms_land_dae_med_unit,rtms_apt_unit_3m,4666,0.05997788386734345,4.139185495830731e-05,0.0035925322200286254,0.8061976855786023,False,rtms_land,rtms_apt,0.0035925322200286254,,0.8728375661475433,
unsold_pct_completed,ah_supply_sum,3314,-0.04088946965372664,0.0185728651069021,0.0042450495173743455,0.8070099697312437,False,unsold,applyhome,0.0042450495173743455,,0.8733246641456207,
bldg_area_m2,rtms_land_n_yoy_pct,1312,0.037927769307404276,0.16975645567990005,0.0067102444396180865,0.8081398417473098,False,site_price,rtms_land,0.0067102444396180865,,0.8741548557500074,
rtms_apt_n_3m,appr_unit_land_mn_m2,4548,0.00048638018177378246,0.9738405287025511,-0.003577433798479125,0.8094059111642955,False,rtms_apt,valuation,0.003577433798479125,,0.8751315594015039,
round_no,appr_vs_rtms_all_3m,311,-0.000892509184261224,0.987492718514837,-0.013611895669127775,0.811033579003509,False,site_price,valuation,0.013611895669127775,,0.87649817282442,
rtms_land_dae_n,rtms_nrg_med_unit,4711,-0.01805258124521934,0.21540394750936445,-0.0034393969289197544,0.8134272435463697,False,rtms_land,rtms_nrg,0.0034393969289197544,,0.878691016112394,
vac_office,appr_vs_rtms_all_3m,4453,-0.028276754092645434,0.059190192122361845,0.0035027267421008316,0.8152374049878797,False,commercial,valuation,0.0035027267421008316,,0.8802518575361962,
rtms_land_dae_med_unit,rtms_nrg_n_3m,4666,0.001181479069803512,0.9356940364179431,-0.0034101518102618417,0.8158550992875726,False,rtms_land,rtms_nrg,0.0034101518102618417,,0.8805243122628974,
vac_office,kiscon_cnt_priv_yoy_pct,4636,0.03555347727605115,0.015482815860633239,-0.0034094830387196642,0.8164731119649198,False,commercial,kiscon,0.0034094830387196642,,0.8807968665333288,
rtms_apt_n,minbid_vs_rtms_all_3m,2850,-0.005522515493453556,0.7682272165368064,-0.004338539110609201,0.8169154393116644,False,rtms_apt,valuation,0.004338539110609201,,0.8808797354546359,
apt_idx,n_rounds_m,446,0.020869980534355105,0.6602571829849945,0.010901859825806959,0.8184073039918196,False,land_house,site_price,0.010901859825806959,,0.882093739991183,
rtms_fac_unit_3m,ah_under_ratio,3481,0.0006724801255510561,0.96836253199395,0.0038538520512761917,0.8201932317225938,False,rtms_fac,applyhome,0.0038538520512761917,,0.8836234637690885,
rtms_land_med_unit,ah_under_ratio,3816,0.003453535763278089,0.8311173825544674,-0.003641261145634356,0.8220870045816772,False,rtms_land,applyhome,0.003641261145634356,,0.8852679539954611,
rtms_land_n_3m,kiscon_amt_pub,4732,0.002841216986974724,0.8450839247007078,0.003260421638533265,0.8225828323027279,False,rtms_land,kiscon,0.003260421638533265,,0.8854062643365673,
rtms_fac_n,appr_unit_land_mn_m2,4548,0.006365925531494264,0.667779787832025,-0.003305675627993648,0.8236364294285787,False,rtms_fac,valuation,0.003305675627993648,,0.8858054433880024,
rtms_fac_med_unit,kiscon_amt_priv_yoy_pct,3740,-0.01572319445959981,0.33640213702455446,-0.0036444255441566206,0.8236887961130761,False,rtms_fac,kiscon,0.0036444255441566206,,0.8858054433880024,
rtms_nrg_n_3m,rtms_apt_n,4732,-0.01460207167875639,0.3152543339159109,-0.0032150714614593147,0.8250103579895834,False,rtms_nrg,rtms_apt,0.0032150714614593147,,0.8868309378924604,
min_bid_mn,unsold_pct_completed,2462,-0.011774219769706284,0.5592585241133361,-0.004429418256630894,0.8261275837009864,False,site_price,unsold,0.004429418256630894,,0.8872850968984263,
round_no,rtms_land_n,315,0.03430049876706168,0.5441616865827132,0.012422944806735777,0.8261691939585347,False,site_price,rtms_land,0.012422944806735777,,0.8872850968984263,
rtms_fac_n,unsold_total,4377,0.07787830564372435,2.4866062641986523e-07,0.0033128093934571105,0.8265644973305244,False,rtms_fac,unsold,0.0033128093934571105,,0.8873142265329905,
land_chg_pct,n_rounds_m,446,-0.0027674639850207494,0.9535245060651711,-0.010353341569078132,0.8273967878312861,False,land_house,site_price,0.010353341569078132,,0.887812225589225,
rtms_land_n_3m,excess_pp_med,446,0.025574810739765905,0.5901080402660994,0.010195133831441107,0.8299938506709468,False,rtms_land,excess,0.010195133831441107,,0.8902025723707083,
capret_midlarge,rtms_fac_med_unit,3740,0.0064292700791896695,0.6942765631811306,0.0034704014192364005,0.8319791187147445,False,commercial,rtms_fac,0.0034704014192364005,,0.8915991082235177,
bldg_area_m2,rtms_nrg_n,1314,-0.00012035283901258662,0.9965224034958742,-0.005856455640150352,0.8320358482965524,False,site_price,rtms_nrg,0.005856455640150352,,0.8915991082235177,
discount_ratio,rtms_nrg_med_unit,2844,-0.005616998414884631,0.7646192070711518,-0.003924051184880785,0.8343114806738116,False,site_price,rtms_nrg,0.003924051184880785,,0.8936402970772825,
rtms_nrg_unit_3m,rtms_fac_n,4730,0.022148523411824134,0.1277464944612651,0.002989919769299049,0.837120697517513,False,rtms_nrg,rtms_fac,0.002989919769299049,,0.8962509466980036,
rtms_land_med_unit,rtms_nrg_n_3m,4723,0.052326692291570887,0.0003211461834664669,-0.0029474376580397323,0.8395205566055866,False,rtms_land,rtms_nrg,0.0029474376580397323,,0.8982967846087861,
rtms_land_n_3m,rtms_apt_med_unit,4731,-0.027264651026380614,0.0607683121884265,0.002940171963808843,0.8397770355699565,False,rtms_land,rtms_apt,0.002940171963808843,,0.8982967846087861,
rtms_land_med_unit,rtms_fac_unit_3m,4359,0.04395189411357012,0.0037032245281341737,-0.003042230845315254,0.840855569463417,False,rtms_land,rtms_fac,0.003042230845315254,,0.8990514296392347,
rtms_fac_med_unit,appr_unit_land_mn_m2,3597,0.0038361255441033667,0.8180976051952319,-0.0033176758553977643,0.8423339437727626,False,rtms_fac,valuation,0.0033176758553977643,,0.9002327292649037,
rtms_fac_unit_3m,kiscon_cnt_priv_yoy_pct,4363,-0.009628723081313484,0.5248816055454686,-0.002987445170762081,0.8436134058240813,False,rtms_fac,kiscon,0.002987445170762081,,0.9008026018704318,
rtms_land_n_3m,ah_n_pblanc,3877,0.0034500187728838567,0.8299632351192926,-0.0031625399070552163,0.8439415468373906,False,rtms_land,applyhome,0.0031625399070552163,,0.9008026018704318,
rtms_apt_n,minbid_vs_rtms_dae_3m,2850,-0.0032516944852053176,0.8622448398179205,-0.0036879006583677783,0.8439884958603465,False,rtms_apt,valuation,0.0036879006583677783,,0.9008026018704318,
min_bid_mn,rtms_nrg_unit_3m,2873,-0.015158799812478911,0.41667091015953156,-0.0036468265168205782,0.8450901119628365,False,site_price,rtms_nrg,0.0036468265168205782,,0.901579092443752,
capret_office,kiscon_amt_priv,4636,-0.03864596590873919,0.00849821354114223,-0.0028302419869500454,0.8472296059252109,False,commercial,kiscon,0.0028302419869500454,,0.9034616594158222,
appraisal_mn,rentidx_office,4481,0.0015832197731499497,0.9156207054469809,-0.0028509759209686004,0.8486883632277537,False,site_price,commercial,0.0028509759209686004,,0.904259351043339,
rtms_apt_n_yoy_pct,minbid_vs_rtms_dae_3m,2850,0.04174252334661066,0.025851547493409746,0.0035744735464439733,0.8487280713942045,False,rtms_apt,valuation,0.0035744735464439733,,0.904259351043339,
appraisal_mn,minbid_vs_rtms_dae_3m,2845,0.002134152275634125,0.9094100729951331,-0.0035549644090062072,0.8496743984017135,False,site_price,valuation,0.0035549644090062072,,0.9048675652444231,
unsold_total,kiscon_amt_all,4377,-0.03727516522331343,0.013654111674109721,-0.0028456567415970162,0.8507103662909721,False,unsold,kiscon,0.0028456567415970162,,0.9055706637637998,
rtms_fac_n_3m,n_rounds_m,446,0.11780873041906284,0.012786465233454645,0.008902739914589852,0.8512760795808536,False,rtms_fac,site_price,0.008902739914589852,,0.9057727822471776,
rtms_nrg_unit_3m,n_rounds_m,446,-0.026584843626019754,0.5755059941742621,-0.008704535614660775,0.8545499442678159,False,rtms_nrg,site_price,0.008704535614660775,,0.9086063484500152,
