macro_var,outcome,n_months,spearman_r,spearman_p,q_fdr
corp_bond_BBB3y,med_excess,17,0.24019607843137256,0.3530886590520007,0.7423717134588983
bank_corp_loan_rate,med_excess,17,-0.23985403150044246,0.3537955163533785,0.7423717134588983
cd_91d,rate_bid_cut,16,-0.24612141452827194,0.35816179158104744,0.7423717134588983
corp_bond_AA3y,med_excess,17,0.23053345841350958,0.3733636789037551,0.7600617749112157
base_rate,med_discount,17,-0.22521001469639557,0.38480348325760366,0.7696069665152073
cci_resi,med_excess,17,0.21117285656901605,0.41587152236988895,0.8174026474166782
cci_resi,rate_bid_cut,16,-0.20943975583212568,0.43627665630707135,0.8429752342204428
base_rate_chg_12m,rate_bid_cut,16,-0.20004433606793548,0.4575861359884334,0.8479908042068329
base_rate_chg_12m,med_excess,17,0.191655300373696,0.46118440024923435,0.8479908042068329
bank_corp_loan_rate,rate_reappraisal,16,-0.19793399655565572,0.462442698775212,0.8479908042068329
spread_BBB_KTB,n_listed,17,-0.18761499541099452,0.4708622320851691,0.8479908042068329
base_rate,rate_bid_cut,16,0.1911923397558461,0.47812679245311657,0.8479908042068329
bank_loan_rate_all,n_listed,17,-0.18159776785621023,0.48545920383178415,0.8479908042068329
cd_91d,rate_bid_reset,16,0.18108031999827817,0.5021259591710925,0.8479908042068329
corp_bond_BBB3y,rate_bid_reset,16,0.17954383080010436,0.505821320079216,0.8479908042068329
nonbank_corp_loan_rate,rate_reappraisal,16,-0.17820343332103863,0.509055410975598,0.8479908042068329
bank_loan_rate_all,med_excess,17,-0.17037504464696343,0.5132575920199252,0.8479908042068329
bank_loan_rate_all,rate_bid_reset,16,0.16481618617715907,0.5418738948064906,0.8684045867204554
ktb_3y,rate_bid_reset,16,0.16188378186894656,0.5491853378865111,0.8684045867204554
base_rate_chg_12m,rate_bid_reset,16,0.15943383175339218,0.5553267789409921,0.8684045867204554
spread_BBB_KTB,rate_reappraisal,16,0.15882352941176472,0.5568612810855391,0.8684045867204554
cci_yoy_pct,rate_bid_reset,16,0.1561119293078056,0.5637012229588921,0.8684045867204554
bank_loan_rate_all,rate_bid_cut,16,-0.14699822010395266,0.5869492789090387,0.8746736936410806
ktb_3y,rate_reappraisal,16,0.14411764705882352,0.5943782881736934,0.8746736936410806
bank_facility_loan_rate,n_listed,17,-0.1374233128834356,0.5989168125812127,0.8746736936410806
corp_bond_BBB3y,rate_reappraisal,16,0.13529411764705881,0.6173674089706421,0.8746736936410806
bank_facility_loan_rate,med_excess,17,-0.12998163080761713,0.6190305781237273,0.8746736936410806
